City,State,Employment,Employment per 1000 jobs,Location quotient,Hourly mean wage,Annual mean wage,Expected State Tax Bracket,Expected Federal Tax Bracket,Federal + State Tax for Bracket,Net Expected Profit,Net Expected Monthly Profit,"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-Range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),"Domestic Beer (0.5 liter draught, in restaurants)","Imported Beer (0.33 liter bottle, in restaurants)","Cappuccino (regular, in restaurants)","Coke/Pepsi (0.33 liter bottle, in restaurants)","Water (0.33 liter bottle, in restaurants)","Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),"Rice (white), (1kg)",Eggs (regular) (12),Local Cheese (1kg),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apples (1kg),Banana (1kg),Oranges (1kg),Tomato (1kg),Potato (1kg),Onion (1kg),Lettuce (1 head),"Water (1.5 liter bottle, at the market)","Bottle of Wine (Mid-Range, at the market)","Domestic Beer (0.5 liter bottle, at the market)","Imported Beer (0.33 liter bottle, at the market)",Cigarettes 20 Pack (Marlboro),One-way Ticket (Local Transport),Monthly Pass (Regular Price),Taxi Start (Normal Tariff),Taxi 1km (Normal Tariff),Taxi 1hour Waiting (Normal Tariff),Gasoline (1 liter),Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car) ,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat","Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child ","International Primary School, Yearly for 1 Child",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, …)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,Average Monthly Net Salary (After Tax),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",data_quality
Waco,Texas,"13,780",1.06,0.98,$49.15 ,"$102,230.00 ",0.00,14.93,14.93,"$86,967 ","$7,247 ",$15.00,$51.00,$7.00,$4.50,$5.25,$4.95,$2.25,$1.33,$0.94,$2.65,$2.92,$3.40,$10.39,$15.48,$11.67,$3.69,$1.43,$3.67,$3.46,$3.12,$1.87,$1.42,$2.32,$13.50,$2.77,$3.61,$7.54,$2.00,,$2.12,$1.12,$15.00,$1.11,"$26,000.00","$25,833.33",$213.85,$0.26,$58.80,$35.00,,$9.00,$930.00,"$14,997.50",$44.00,$40.00,$58.33,$100.00,"$1,050.00",$958.33,"$1,866.67","$2,000.00","$2,045.14","$1,345.49","$2,324.00",5.7,0
Sunrise Manor,Nevada,850,0.6,0.56,$46.57 ,"$96,870.00 ",0.00,14.53,14.53,"$82,795 ","$6,900 ",,,$8.00,,$8.00,$4.50,,$1.50,$1.16,$1.10,$2.00,,$9.31,,$11.02,,,,,,,$2.00,$2.22,$6.00,,,$7.00,,,,,,,,,$151.94,,$90.00,,,$11.00,,,$45.00,$25.00,$50.00,$65.00,,,,,,,"$3,070.00",,0
Clarksville,Tennessee,"1,210",0.39,0.36,$53.88 ,"$112,070.00 ",0.00,15.73,15.73,"$94,441 ","$7,870 ",$15.50,$50.00,$6.99,$5.00,$5.50,$4.62,$2.00,$1.14,$0.96,$2.56,$3.86,$3.11,$12.49,$11.45,$13.04,$5.77,$1.58,$3.08,$4.38,$2.67,$2.63,$1.61,$1.55,$12.00,$3.04,$2.85,$7.99,$2.25,$50.00,$3.50,$1.24,$25.00,$1.05,"$20,500.00","$22,333.33",$169.21,$0.25,$69.67,$43.00,$50.00,$11.62,$800.00,"$9,500.00",$33.00,$26.00,$62.12,$82.78,$950.00,$766.67,"$1,850.00","$1,500.00","$1,506.95","$1,722.23","$2,681.00",4.59,0
Waterbury,Connecticut,950,0.58,0.54,$52.99,"$110,220.00",4.34,15.59,19.93,"$88,253 ","$7,354 ",$28.00,$82.50,$8.00,$7.50,$8.00,$4.44,$2.58,$1.42,$0.97,$2.89,$7.16,$1.99,$18.28,$9.58,$16.07,$5.94,$2.90,$4.62,$4.40,$1.98,$3.66,$2.87,$1.75,$18.00,$2.06,$3.58,$12.00,$2.75,$108.70,$5.00,,$13.00,$1.01,"$24,000.00","$21,000.00",$236.29,,$89.37,$32.00,,$13.50,,"$4,200.00",$36.66,$39.00,$95.00,$130.00,$800.00,$650.00,,"$1,750.00",,,"$2,422.00",,0
Cedar Rapids,Iowa,1970,1.3,1.20,$45.28,"$94,190.00",6.11,14.32,20.43,"$74,947 ","$6,246 ",$17.50,$45.00,$9.00,$4.00,$5.00,$4.50,$1.67,$1.38,$0.66,$1.38,$4.40,$3.50,$8.21,$14.33,$10.57,$8.07,$1.74,$5.50,$8.07,$1.08,$3.30,$2.00,$2.25,$13.50,,$3.03,$6.00,$1.00,$40.00,$2.75,$1.86,,$1.19,,"$22,000.00",$251.82,,$53.00,$31.50,$0.00,$12.25,,,$45.00,$63.75,$77.00,$107.50,"$1,116.67",$800.00,"$2,300.00","$1,475.00",,,"$3,398.00",5.43,0
Sioux Falls,South Dakota,110,0.26,0.24,$52.13,"$108,430.00",0.00,15.45,15.45,"$91,678 ","$7,640 ",$13.00,$60.00,$9.00,$4.50,$5.50,$4.72,$2.47,$1.71,$1.03,$2.96,$5.02,$4.54,$11.86,$15.16,$13.22,$4.90,$1.64,$5.99,$3.97,$2.23,$2.81,$1.39,$1.68,$12.00,$2.58,$2.77,$7.24,$2.00,$35.00,$2.30,$1.86,$35.00,$1.04,"$30,000.00","$24,416.67",$160.60,$0.08,$66.38,$39.60,$25.00,$10.12,"$1,446.67","$9,933.33",$48.00,$40.29,$92.22,$116.67,"$1,070.00",$830.00,"$2,166.67","$1,333.33","$2,524.14","$2,421.88","$3,519.00",5.29,0
Erie,Pennsylvania,"6,370",1.1,1.02,$46.12 ,"$95,940.00 ",3.07,14.46,17.53,"$79,122 ","$6,593 ",$15.00,$47.50,$7.00,$4.00,$5.00,$4.35,$2.00,$1.39,$1.10,$3.47,$4.78,$2.99,$18.93,$16.53,$14.62,$3.88,$1.50,$8.27,$5.25,$4.62,$4.06,$1.55,$1.57,$16.50,$3.21,$4.04,$8.50,$1.50,$26.50,$3.62,$1.52,$23.50,$1.21,"$33,000.00","$26,083.33",$216.69,$0.30,$73.92,$19.67,$20.00,$11.00,$500.00,"$12,000.00",$42.75,$31.62,$70.18,$111.94,$913.00,$775.00,$950.00,$875.00,"$1,566.15","$1,404.69","$2,596.00",5.29,0
Ontario,California,"29,420",1.67,1.55,$70.86 ,"$147,390.00 ",6.95,17.71,24.66,"$111,044 ","$9,254 ",$14.30,$70.00,$8.00,$5.29,$5.50,$3.88,$1.71,$2.02,$0.75,$1.76,$3.95,$2.16,$12.03,$5.36,$14.31,$3.93,$1.33,$4.19,$2.92,$2.96,$1.84,$1.37,$1.50,$10.50,$2.03,$3.95,$10.50,$3.03,$73.35,$2.80,$2.05,$25.00,$1.51,"$21,500.00","$23,500.00",$222.49,$0.10,$79.60,$31.84,,$13.25,"$1,500.00","$10,500.00",$47.25,$27.25,$63.50,$85.83,"$1,533.33","$1,383.33","$2,125.00","$1,705.17","$3,282.99","$5,005.00","$3,274.68",5.43,0
Hagerstown,Maryland,"2,010",0.76,0.70,$57.19 ,"$118,960.00 ",4.51,16.21,20.72,"$94,311 ","$7,859 ",$6.30,$105.00,$8.75,$5.00,$6.00,$4.67,,$1.67,$0.92,$1.92,$3.31,$2.49,$13.23,$21.91,$20.39,$5.22,$1.93,$8.08,$4.78,$3.23,$4.21,$2.00,$2.00,$17.00,$3.04,$4.75,$7.50,$3.50,$60.00,$4.00,$1.34,$15.00,$1.27,"$23,750.00","$28,000.00",$255.83,$0.15,$86.00,$40.00,$10.00,$12.50,"$1,200.00","$26,000.00",$52.40,$53.33,$91.00,$108.17,$696.67,$866.67,"$1,413.33","$1,566.67","$1,076.39",,"$5,000.00",5.22,0
Spartanburg,South Carolina,1180,0.55,0.51,$48.34,"$100,550.00",5.56,14.81,20.37,"$80,068 ","$6,672 ",$11.50,$35.00,$7.50,$4.33,$5.50,$3.69,$1.69,$1.39,$0.88,$3.86,$4.96,$2.73,$13.98,$14.32,$25.90,$4.51,$1.31,$3.71,$3.33,$3.59,$2.91,$1.59,$2.09,$12.00,$3.28,$2.92,$5.57,$1.00,$31.00,$3.00,$1.86,,$1.05,"$30,500.00","$31,670.00",$223.48,$0.25,$60.83,$53.33,,$11.50,"$1,000.00","$6,400.00",$37.80,$48.75,$82.50,$125.00,"$1,025.00",$850.00,"$2,050.00","$1,475.00","$1,883.68","$1,076.39","$3,583.33",4.95,0
Gastonia,North Carolina,"5,350",1.15,1.07,$57.67 ,"$119,960.00 ",4.46,16.27,20.73,"$95,092 ","$7,924 ",,$70.00,$7.50,,$4.75,$4.08,,$1.66,,,$4.25,,$8.82,,,$6.60,$1.23,$2.34,$3.95,$2.43,$2.41,$1.50,$1.00,$12.00,,$4.50,$7.50,,$80.00,$4.00,,,$1.21,"$24,000.00","$28,000.00",$205.50,,$109.75,$50.00,,$12.00,,,$51.25,$41.33,$103.50,$145.00,"$1,400.00","$1,000.00","$2,500.00","$2,250.00","$1,776.05","$1,614.59","$2,368.00",5.43,0
Fort Lauderdale,Florida,"8,190",0.89,0.82,$48.45 ,"$100,780.00 ",0.00,14.82,14.82,"$85,844 ","$7,154 ",$20.00,$80.00,$9.00,$6.50,$7.00,$4.75,$2.38,$1.62,$1.12,$3.26,$4.89,$2.73,$10.75,$10.47,$15.86,$4.13,$1.67,$4.56,$4.81,$3.03,$2.96,$2.29,$2.06,$11.00,$3.23,$3.96,$7.00,$2.00,$59.50,$5.00,$1.58,$24.00,$1.23,"$23,195.00","$22,266.67",$133.62,$0.28,$68.00,$42.58,$17.50,$13.00,$850.00,"$26,250.00",$45.50,$37.38,$72.11,$95.50,"$2,381.25","$1,750.00","$3,822.22","$2,922.73","$5,328.14","$2,744.80","$4,948.00",4.87,1
Murfreesboro,Tennessee,"1,210",0.39,0.36,$53.88 ,"$112,070.00 ",0.00,15.73,15.73,"$94,441 ","$7,870 ",$10.00,$40.00,$7.00,$4.00,$4.00,$3.88,$1.79,$1.20,$0.57,$2.31,$4.23,$1.88,$8.81,$8.81,$12.11,$4.62,$2.77,$2.49,$1.31,$2.70,$1.90,$1.53,$1.75,$12.00,$3.04,$3.25,$6.00,$1.80,$38.00,$3.00,$1.55,$30.00,$1.04,"$20,000.00",,$194.29,$0.50,$87.88,$25.00,,$12.00,$600.00,,$39.00,$29.75,$62.00,$65.00,"$1,028.33","$1,229.00","$4,550.00","$1,733.33",,,"$3,266.00",5.43,0
Lorain,Ohio,"3,650",0.68,0.63,$44.27 ,"$92,080.00 ",2.18,14.15,16.33,"$77,043 ","$6,420 ",$55.00,$90.00,$7.00,$3.50,$4.50,$3.25,$2.25,$1.12,,,$6.61,,,,,$4.41,,$11.02,$6.61,$6.88,$6.37,$1.15,$1.70,$12.00,,$2.12,$7.50,$0.00,$0.00,$2.50,$0.93,,,,,$110.00,$0.00,$147.99,,,$13.50,,,,,$120.00,,,,,,,,,,0
High Point,North Carolina,"5,350",1.15,1.07,$57.67 ,"$119,960.00 ",4.46,16.27,20.73,"$95,092 ","$7,924 ",$18.00,$65.00,$7.12,$3.38,$5.00,$4.79,$1.88,$1.48,$0.85,$2.88,$3.26,$2.56,$12.13,$13.23,$16.53,$4.41,$1.31,$3.66,$4.03,$2.20,$3.31,$1.52,$1.94,$10.00,$2.86,$3.30,$6.20,$1.25,$40.00,$2.00,$1.30,$18.00,$1.03,"$24,000.00","$24,815.00",$183.77,$0.10,$57.83,$30.00,,$11.00,$500.00,"$8,927.00",$37.80,$37.75,$72.00,$92.50,,,,"$1,700.00",,,"$2,822.00",5.43,0
Newport News,Virginia,"4,500",1.16,1.08,$64.41 ,"$133,990.00 ",5.32,17.08,22.40,"$103,976 ","$8,665 ",$18.00,$57.50,$9.00,$3.50,$4.50,$4.82,$2.41,$1.67,$1.01,$3.24,$1.87,$2.83,$7.90,$11.91,$16.56,$2.90,$1.97,$5.14,$4.40,$3.41,$3.10,$2.00,$1.00,$15.00,$3.11,$3.75,$11.00,$2.00,$70.00,$4.30,$1.34,$18.00,$1.24,"$20,485.00","$20,304.00",$156.98,$0.17,$81.66,$30.00,,$13.50,"$2,260.91","$7,000.00",$38.00,$33.42,$96.75,$113.75,"$1,166.67","$1,250.00","$1,900.00","$2,100.00","$2,107.04","$1,584.88","$2,885.00",5.16,0
Rancho Cucamonga,California,"29,420",1.67,1.55,$70.86 ,"$147,390.00 ",6.95,17.71,24.66,"$111,044 ","$9,254 ",$16.00,$75.00,$8.00,$7.50,$8.50,$5.33,$2.50,$2.38,$0.92,$2.74,$5.51,$3.99,$9.37,$8.82,$15.43,$4.18,$1.30,$3.65,$4.21,$2.60,$2.07,$1.25,$1.75,$10.00,$1.61,$2.99,$9.00,$2.00,$60.00,$2.54,$1.62,$25.00,$1.58,"$23,000.00","$23,611.50",$146.96,$0.22,$58.00,$20.00,$15.00,$13.50,$850.00,"$42,000.00",$41.33,$21.67,$64.67,$96.43,"$2,500.00","$2,000.00","$3,400.00","$3,500.00",,,"$4,389.00",5.46,0
Hemet,California,"29,420",1.67,1.55,$70.86 ,"$147,390.00 ",6.95,17.71,24.66,"$111,044 ","$9,254 ",,$68.00,$9.00,$3.45,$5.00,$4.38,$3.00,$1.83,$0.86,$3.86,$5.88,$6.00,$12.53,,$17.00,$4.53,$1.81,$2.91,$5.89,$5.15,$4.28,$2.04,$2.00,$7.50,$3.47,$4.17,$10.75,,,,,$20.00,$1.61,,"$12,250.00",$272.25,,$71.66,$19.67,$35.00,$13.00,"$1,000.00",,$36.00,$19.99,$117.50,$142.33,"$2,500.00","$1,500.00","$5,500.00","$3,500.00","$2,583.34","$3,390.63","$3,500.00",5.43,0
Oceanside,California,"29,420",1.67,1.55,$70.86 ,"$147,390.00 ",6.95,17.71,24.66,"$111,044 ","$9,254 ",$18.00,$70.00,$9.75,$7.50,$7.00,$5.28,$2.00,$1.70,$0.94,$3.48,$4.65,$2.75,$15.17,$11.71,$15.76,$4.61,$1.48,$4.98,$4.96,$3.67,$3.42,$1.77,$2.33,$12.00,$2.86,$2.00,$9.50,$2.50,$87.00,$2.80,$1.86,$25.00,$1.55,"$23,500.00","$23,666.67",$156.66,$0.12,$79.00,$35.00,$12.00,$13.25,"$1,200.00","$8,000.00",$52.50,$41.25,$74.83,$102.50,"$2,333.33","$2,008.33","$4,400.00","$3,150.00","$10,763.91","$4,574.66","$3,856.00",5.43,0
Vallejo,California,"29,420",1.67,1.55,$70.86 ,"$147,390.00 ",6.95,17.71,24.66,"$111,044 ","$9,254 ",$24.00,$100.00,$7.50,$5.75,$6.00,$4.50,$1.79,$1.52,$1.36,$4.04,$4.63,$4.73,$16.66,$13.23,$15.43,$4.03,$2.16,$4.41,$5.56,$3.62,$4.18,$2.13,$2.00,$10.00,$2.16,$2.40,$10.00,,,$2.62,$1.86,$29.00,$1.58,"$22,500.00","$20,500.00",$165.70,$0.12,$75.62,$13.33,,$12.50,"$2,300.00","$27,500.00",$42.25,$27.67,$78.57,$70.00,"$2,577.50","$2,500.00","$2,300.00",,"$3,659.73","$3,552.09","$3,496.00",5.43,0
Pembroke Pines,Florida,"8,190",0.89,0.82,$48.45 ,"$100,780.00 ",0.00,14.82,14.82,"$85,844 ","$7,154 ",$16.00,$80.00,$9.00,$5.00,$7.00,$3.88,$2.38,$1.64,$0.92,$3.26,$4.63,$2.73,$10.75,$10.47,$15.86,$4.13,$1.67,$4.56,$4.81,$2.54,$2.96,$2.15,$2.06,$11.00,$3.23,$2.33,$7.00,,,$4.50,$1.24,$24.00,$1.14,"$23,195.00","$19,000.00",$133.62,$0.28,$86.25,$25.00,$12.00,$13.00,$425.00,"$10,000.00",$45.50,$33.00,$72.11,$97.50,"$2,000.00","$1,900.00","$2,900.00","$2,800.00",,,"$3,206.00",4.87,0
Garden Grove,California,"29,420",1.67,1.55,$70.86 ,"$147,390.00 ",6.95,17.71,24.66,"$111,044 ","$9,254 ",$12.50,$52.50,$9.75,$6.00,$6.00,$5.00,$2.20,$1.50,$1.06,$2.70,$4.56,$3.95,$12.59,$15.31,$17.70,$4.20,$1.30,$3.03,$4.26,$2.23,$2.74,$1.60,$1.52,$9.99,$2.80,$2.62,$9.00,$2.00,,$2.85,$1.68,$20.00,$1.31,"$23,597.50","$20,500.00",$159.71,$0.08,$61.00,$20.83,,$15.00,"$1,400.00","$16,666.67",$45.00,$27.55,$65.00,$86.33,,,,,"$4,983.69","$4,983.69","$3,587.00",5.34,0
Medford,Oregon,"1,610",0.85,0.79,$53.40 ,"$111,090.00 ",8.31,15.65,23.96,"$84,473 ","$7,039 ",$15.00,$50.00,$8.00,$6.00,$7.00,$3.83,$3.25,$1.50,$1.67,$3.32,$4.68,$2.29,$13.66,$4.41,$15.43,$4.65,$1.44,$5.23,$4.68,$2.74,$2.03,$1.82,$1.62,$11.00,$3.33,$2.25,$7.50,$2.00,$25.00,$2.80,$3.11,$20.00,$1.42,"$20,500.00","$33,000.00",$214.50,$0.10,$96.80,$43.33,,$12.50,$900.00,"$8,000.00",$58.57,$57.00,$72.00,$116.00,"$1,700.00","$2,100.00","$2,900.00","$2,333.33","$2,152.78","$1,937.50","$2,688.00",5.43,0
Enterprise,Nevada,850,0.6,0.56,$46.57 ,"$96,870.00 ",0.00,14.53,14.53,"$82,795 ","$6,900 ",$20.00,$35.00,$8.00,$5.00,$4.00,$4.25,$2.20,$1.29,$1.01,$3.45,$1.81,$3.40,$18.70,$8.33,$12.87,$1.85,$1.12,$2.95,$2.12,$1.43,$1.37,$1.98,$2.28,$15.00,$1.43,$1.60,$6.50,,,,,,$0.82,"$21,895.00","$20,538.75",$103.25,,$63.33,$29.99,$0.00,$12.99,$600.00,,$60.00,$35.00,$95.00,$47.00,$550.00,$475.00,$900.00,$850.00,"$1,076.39",$807.29,"$1,700.00",4,0
Cary,North Carolina,"5,350",1.15,1.07,$57.67 ,"$119,960.00 ",4.46,16.27,20.73,"$95,092 ","$7,924 ",$15.00,$55.00,$7.50,$5.50,$5.00,$3.86,$1.83,$1.70,$1.01,$3.78,$4.70,$5.00,$12.67,$9.69,$11.02,$5.14,$1.59,$4.03,$5.79,$2.05,$1.90,$1.72,$2.02,$10.00,$2.84,$3.66,$5.62,$1.20,$29.00,,,$15.00,$1.18,"$22,922.50","$20,650.00",$158.05,$0.10,$59.67,$38.00,,$10.00,,"$12,200.00",$40.00,$28.33,$91.25,$101.25,"$1,423.67","$1,200.50","$2,644.50","$2,066.67","$3,363.72","$2,610.25","$6,222.22",5.09,0
Ocala,Florida,"8,190",0.89,0.82,$48.45 ,"$100,780.00 ",0.00,14.82,14.82,"$85,844 ","$7,154 ",$17.00,$45.00,$8.00,$5.00,$5.50,$4.33,$2.24,$1.52,$1.09,$3.30,$3.41,$3.51,$12.28,$12.97,$16.19,$4.90,$1.53,$5.06,$4.57,$4.05,$3.47,$2.02,$1.76,$8.99,$2.44,$3.57,$7.00,$2.00,$38.50,$3.50,$1.49,$18.00,$1.17,"$23,195.00","$21,031.50",$139.05,$0.08,$68.45,$32.49,$0.00,$13.49,$766.67,"$8,500.00",$49.38,$34.88,$73.38,$87.55,"$1,400.00","$1,166.67","$2,133.33","$1,800.00","$1,883.68","$1,749.14","$3,400.00",4.97,0
Marysville,Washington,"4,160",1.22,1.13,$67.68 ,"$140,780.00 ",0.00,17.41,17.41,"$116,270 ","$9,689 ",$25.00,$70.00,$7.25,$3.50,$3.50,$4.50,$1.75,$1.33,$0.92,,$13.23,,$26.46,,,$8.82,,$11.00,$11.00,$8.80,$6.59,$2.89,$3.00,$28.00,,$4.00,,,$40.00,$5.00,$1.24,,$1.04,"$28,000.00","$27,500.00",$183.33,,$63.67,,$45.00,$14.00,,,$55.00,$35.00,$76.66,$185.00,,,,,,,"$1,800.00",5.43,0
Corona,California,"29,420",1.67,1.55,$70.86 ,"$147,390.00 ",6.95,17.71,24.66,"$111,044 ","$9,254 ",$15.00,$80.00,$8.00,$8.00,$9.00,$5.00,$2.75,$1.94,$0.99,$3.31,$4.39,$3.50,$13.57,$11.01,$19.82,$7.19,$3.30,$7.71,$5.50,$6.61,$4.40,$1.66,$2.00,$12.00,$2.86,$4.00,$10.79,$7.00,$30.00,$1.25,$1.24,,$1.57,"$22,500.00","$25,333.33",$212.65,$0.11,$79.75,$37.50,$15.00,$13.50,"$1,066.67","$12,000.00",$68.33,$38.33,$88.33,$148.33,"$1,875.00","$1,166.67","$2,966.67","$2,700.00","$3,229.17","$3,336.81","$4,198.00",5.43,0
Fredericksburg,Virginia,"4,500",1.16,1.08,$64.41 ,"$133,990.00 ",5.32,17.08,22.40,"$103,976 ","$8,665 ",$30.00,$105.00,$8.00,$6.00,$7.00,$4.38,$2.00,$1.57,$1.26,$4.30,$3.63,$4.63,$22.78,$24.25,$42.99,$5.73,$2.41,$3.23,$4.84,$2.46,$3.49,$2.50,$1.06,$13.00,$1.81,$2.25,$5.99,$1.25,,$2.50,$1.24,$71.00,$1.23,"$20,500.00","$28,333.33",$142.41,$0.10,$53.75,$50.00,,$12.00,"$1,400.00","$30,000.00",$56.67,$27.25,$76.17,$96.60,"$1,900.00","$1,475.00","$2,850.00","$2,300.00","$3,498.27","$1,614.59","$5,016.67",5.15,0
Manchester,New Hampshire,620,0.94,0.87,$41.97,"$87,300.00",0.00,13.72,13.72,"$75,322 ","$6,277 ",$15.00,$55.00,$11.50,,$4.00,$3.00,$1.50,$1.15,$0.92,$2.54,$7.94,$2.00,$6.06,$5.51,$6.61,$4.40,$2.63,$4.13,$4.40,$3.75,$4.40,$2.15,$2.50,$12.00,$2.86,$3.50,$4.50,,,,,,,,"$18,000.00",$109.08,,$60.00,,,$14.00,,,$35.00,$29.00,$45.00,$69.00,,,,,,,,,0
Champaign,Illinois,"6,350",1.08,1.00,$52.82 ,"$109,870.00 ",4.84,15.56,20.40,"$87,457 ","$7,288 ",$18.00,$47.50,$7.00,$5.00,$6.00,$3.92,$1.72,$1.31,$0.85,$2.90,$2.34,$1.80,$10.47,$7.34,$14.17,$4.23,$1.23,$4.96,$3.44,$3.31,$2.78,$1.64,$1.62,$8.00,$2.19,$2.07,$7.55,$1.00,$17.50,$3.00,$1.52,$20.00,$1.24,"$22,500.00","$19,333.33",$107.06,$0.20,$50.00,$36.50,$8.00,$12.00,$900.00,"$5,000.00",$44.00,$32.06,$77.86,$101.75,$775.00,$650.00,"$1,850.00","$1,375.00","$1,614.59","$1,614.59","$4,660.07",4.87,0
Hayward,California,"29,420",1.67,1.55,$70.86 ,"$147,390.00 ",6.95,17.71,24.66,"$111,044 ","$9,254 ",$11.91,$39.70,$12.44,$7.00,$7.00,$3.00,$1.50,$1.31,$0.95,$1.64,$8.33,$1.89,$10.90,$4.37,$13.21,$4.40,$2.98,$3.48,$5.22,$3.01,$2.30,$1.79,$1.07,$9.99,$1.21,$1.82,$9.00,$2.50,,$3.20,$1.86,$30.00,$1.51,"$22,422.50","$21,000.00",$137.72,,$90.80,$10.00,,$11.00,"$1,050.00","$13,500.00",$42.20,$52.33,$112.66,$121.75,"$1,675.00","$1,575.00","$3,566.67","$3,066.67","$8,611.13","$5,285.08","$4,876.00",5.95,0
Lakewood,Colorado,"3,540",1.28,1.18,$56.03 ,"$116,560.00 ",4.04,16.04,20.08,"$93,155 ","$7,763 ",$12.00,$40.00,$10.50,$5.40,$5.36,$4.88,$1.12,$1.17,$1.03,$1.31,$2.77,$4.29,$12.49,$16.51,$17.61,$6.59,$1.52,$2.84,$5.65,$1.96,$3.29,$2.49,$2.33,$11.99,$2.84,$3.31,$10.00,$2.00,$68.50,$2.50,$1.55,$18.00,$1.29,"$23,195.00","$20,425.00",$134.82,$0.15,$67.00,$29.99,,$13.50,"$4,250.00","$6,000.00",$26.99,$35.00,$87.17,$75.00,"$1,600.00","$1,425.00","$2,650.00","$2,337.50",,,"$4,700.00",3.6,0
Frederick,Maryland,"2,010",0.76,0.70,$57.19 ,"$118,960.00 ",4.51,16.21,20.72,"$94,311 ","$7,859 ",$20.00,$80.00,$8.00,$6.00,$5.50,$4.88,$2.00,$1.75,$0.66,$2.76,$4.41,$3.15,$14.32,$6.17,$8.82,$8.08,$2.67,$4.29,$4.76,$3.19,$3.20,$2.00,$1.50,$12.50,$3.14,$3.65,$8.00,$1.50,$35.00,$1.00,$1.34,$30.00,$1.24,"$21,267.00","$18,000.00",$300.00,$0.10,$80.50,$32.50,$15.00,$13.62,"$1,200.00","$48,000.00",$33.57,$35.67,$83.33,$90.00,"$1,600.00","$1,400.00","$2,800.00","$2,000.00","$2,325.00","$1,786.81","$4,232.00",5.43,0
Odessa,Texas,"13,780",1.06,0.98,$49.15 ,"$102,230.00 ",0.00,14.93,14.93,"$86,967 ","$7,247 ",$16.00,$42.00,$9.00,$3.00,$5.00,$3.04,$1.96,$1.39,$1.06,$2.63,$2.63,$3.29,$10.13,$6.17,$13.23,$4.44,$1.16,$3.26,$2.74,$3.20,$2.35,$1.30,$1.67,$8.00,$2.29,$2.25,$9.00,$1.50,$37.00,$3.00,$1.09,$10.00,$1.08,"$23,500.00","$24,000.00",$166.53,$0.06,$70.83,$10.00,,$10.00,$569.44,"$4,600.00",$37.33,$20.00,$42.50,$70.00,"$2,056.00","$1,000.00","$2,240.00",,,,"$2,906.00",5.36,0
Tuscaloosa,Alabama,,,,,,,,,,,$15.00,$65.00,$8.25,$4.00,$5.50,$4.40,$2.06,$1.45,$0.88,$2.67,$4.57,$2.34,$12.34,$10.83,$9.37,$4.81,$1.55,$3.86,$2.89,$1.76,$2.06,$1.74,$2.01,$10.00,$3.02,$3.61,$7.00,,,$2.62,$2.17,$24.00,$1.00,"$21,000.00","$21,475.00",$176.72,$0.09,$64.90,,,$11.00,"$1,478.00","$14,000.00",$46.33,$38.48,$83.75,$89.44,"$1,000.00",$720.00,"$2,100.00","$1,300.00","$1,033.34","$1,033.34","$2,886.00",4.84,0
Lake Charles,Louisiana,580,0.31,0.29,$34.47,"$71,710.00",3.17,11.91,15.08,"$60,896 ","$5,075 ",$14.75,$80.00,$9.00,$6.50,$4.50,$2.78,$1.82,$1.67,$1.45,$3.71,$4.49,$3.24,$9.70,$12.43,$23.81,$3.62,$1.20,$2.83,$2.97,$1.51,$1.91,$1.34,$1.75,$12.00,$2.50,$1.69,$6.50,$0.99,,$3.00,$1.43,$22.00,$1.15,"$19,500.00","$19,858.75",$164.75,$0.12,$68.75,$15.00,,$8.50,,"$17,500.00",$37.50,$30.00,$65.00,$83.50,"$1,250.00",$900.00,"$1,600.00",,,,"$3,149.00",4.69,0
